time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.0,-0.0912718568792,-1.00705838725,-1.16352442761,1.94201967746,0.66728164273,1.02354868072,-0.498160260866,100.0,-0.158000021152,-0.740529225352,0.856344774837,1.31462153522,-0.143810698864,1.40781086808,-3.05,0.0
0.01,-0.0912718568792,-1.00705838725,-1.16352442761,1.94201967746,0.66728164273,1.02354868072,-0.498160260866,100.0,-0.158000021152,-0.740529225352,0.856344774837,1.31462153522,-0.143810698864,1.40781086808,-3.0438938938938938,0.0
0.02,-0.0912718568792,-1.00705838725,-1.16352442761,1.94201967746,0.66728164273,1.02354868072,-0.498160260866,100.0,-0.158000021152,-0.740529225352,0.856344774837,1.31462153522,-0.143810698864,1.40781086808,-3.0377877877877877,0.0
0.03,-0.0912718568792,-1.00705838725,-1.16352442761,1.94201967746,0.66728164273,1.02354868072,-0.498160260866,100.0,-0.158000021152,-0.740529225352,0.856344774837,1.31462153522,-0.143810698864,1.40781086808,-3.0316816816816816,0.0
0.04,-0.0912718568792,-1.00705838725,-1.16352442761,1.94201967746,0.66728164273,1.02354868072,-0.498160260866,100.0,-0.158000021152,-0.740529225352,0.856344774837,1.31462153522,-0.143810698864,1.40781086808,-3.0255755755755755,0.0
0.05,-0.0912718568792,-1.00705838725,-1.16352442761,1.94201967746,0.66728164273,1.02354868072,-0.498160260866,100.0,-0.158000021152,-0.740529225352,0.856344774837,1.31462153522,-0.143810698864,1.40781086808,-3.0194694694694695,0.0
0.06,-0.0912718568792,-1.00705838725,-1.16352442761,1.94201967746,0.66728164273,1.02354868072,-0.498160260866,100.0,-0.158000021152,-0.740529225352,0.856344774837,1.31462153522,-0.143810698864,1.40781086808,-3.0133633633633634,0.0
0.07,-0.0912718568792,-1.00705838725,-1.16352442761,1.94201967746,0.66728164273,1.02354868072,-0.498160260866,100.0,-0.158000021152,-0.740529225352,0.856344774837,1.31462153522,-0.143810698864,1.40781086808,-3.007257257257257,0.0
0.08,-0.0912718568792,-1.00705838725,-1.16352442761,1.94201967746,0.66728164273,1.02354868072,-0.498160260866,100.0,-0.158000021152,-0.740529225352,0.856344774837,1.31462153522,-0.143810698864,1.40781086808,-3.001151151151151,0.0
0.09,-0.0912718568792,-1.00705838725,-1.16352442761,1.94201967746,0.66728164273,1.02354868072,-0.498160260866,100.0,-0.158000021152,-0.740529225352,0.856344774837,1.31462153522,-0.143810698864,1.40781086808,-2.9950450450450448,0.0
0.1,-0.0908883616822,-1.00667489205,-1.16352442761,1.94317016305,0.666898147533,1.02354868072,-0.498160260866,100.0,-0.157616525955,-0.740529225352,0.857111765231,1.31500503041,-0.143810698864,1.40704387769,-2.9889389389389387,0.0
0.11,-0.0908883616822,-1.00667489205,-1.16352442761,1.94317016305,0.666898147533,1.02354868072,-0.498160260866,100.0,-0.157616525955,-0.740529225352,0.857111765231,1.31500503041,-0.143810698864,1.40704387769,-2.9828328328328326,0.0
0.12,-0.0908883616822,-1.00667489205,-1.16352442761,1.94317016305,0.666898147533,1.02354868072,-0.498160260866,100.0,-0.157616525955,-0.740529225352,0.857111765231,1.31500503041,-0.143810698864,1.40704387769,-2.9767267267267266,0.0
0.13,-0.0908883616822,-1.00667489205,-1.16352442761,1.94317016305,0.666898147533,1.02354868072,-0.498160260866,100.0,-0.157616525955,-0.740529225352,0.857111765231,1.31500503041,-0.143810698864,1.40704387769,-2.9706206206206205,0.0
0.14,-0.0908883616822,-1.00667489205,-1.16352442761,1.94317016305,0.666898147533,1.02354868072,-0.498160260866,100.0,-0.157616525955,-0.740529225352,0.857111765231,1.31500503041,-0.143810698864,1.40704387769,-2.9645145145145144,0.0
0.15,-0.0908883616822,-1.00667489205,-1.16390792281,1.94278666786,0.66728164273,1.02393217591,-0.498160260866,100.0,-0.157233030758,-0.740529225352,0.857111765231,1.31538852561,-0.144194194061,1.40781086808,-2.9584084084084084,0.0
0.16,-0.0908883616822,-1.00667489205,-1.16390792281,1.94278666786,0.66728164273,1.02393217591,-0.498160260866,100.0,-0.157233030758,-0.740529225352,0.857111765231,1.31538852561,-0.144194194061,1.40781086808,-2.9523023023023023,0.0
0.17,-0.0908883616822,-1.00667489205,-1.16390792281,1.94278666786,0.66728164273,1.02393217591,-0.498160260866,100.0,-0.157233030758,-0.740529225352,0.857111765231,1.31538852561,-0.144194194061,1.40781086808,-2.946196196196196,0.0
0.18,-0.0908883616822,-1.00667489205,-1.16390792281,1.94278666786,0.66728164273,1.02393217591,-0.498160260866,100.0,-0.157233030758,-0.740529225352,0.857111765231,1.31538852561,-0.144194194061,1.40781086808,-2.9400900900900897,0.0
0.19,-0.0908883616822,-1.00667489205,-1.16390792281,1.94278666786,0.66728164273,1.02393217591,-0.498160260866,100.0,-0.157233030758,-0.740529225352,0.857111765231,1.31538852561,-0.144194194061,1.40781086808,-2.9339839839839836,0.0
0.2,-0.0908883616822,-1.00629139685,-1.16352442761,1.94201967746,0.666898147533,1.02393217591,-0.498543756063,100.0,-0.157616525955,-0.741679710943,0.856728270034,1.31538852561,-0.143810698864,1.40781086808,-2.9278778778778776,0.0
0.21,-0.0908883616822,-1.00629139685,-1.16352442761,1.94201967746,0.666898147533,1.02393217591,-0.498543756063,100.0,-0.157616525955,-0.741679710943,0.856728270034,1.31538852561,-0.143810698864,1.40781086808,-2.9217717717717715,0.0
